地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,下り・小型交通量,下り・大型交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2,上り・車種判別不能交通量,下り・車種判別不能交通量
85,24,5810210,1,20250522,1510,18,10,17,17,0,,0,,0,0,0,0,,0,3,202505221510,34.86311003362677,136.47097,,,,
85,24,5810670,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.65002003334157,136.51956,,,,
85,24,5810680,1,20250522,1510,35,8,35,5,0,,0,,0,0,0,0,,0,3,202505221510,34.71907003343443,136.4716,,,,
85,24,5810690,1,20250522,1510,55,13,49,12,0,,0,,0,0,0,0,,0,3,202505221510,34.64712003333765,136.49449,,,,
85,24,5810890,1,20250522,1510,22,3,12,4,0,,0,,0,0,0,0,,0,3,202505221510,34.407524733012174,136.4423714,,,,
85,24,5810900,1,20250522,1510,7,0,8,0,0,,0,,0,0,0,0,,0,3,202505221510,34.1617406326732,136.2779067,,,,
85,24,5810930,1,20250522,1510,8,2,3,4,0,,0,,0,0,0,0,,0,3,202505221510,33.98629813242818,136.1080803,,,,
85,24,5810940,1,20250522,1510,9,2,9,3,0,,0,,0,0,0,0,,0,3,202505221510,33.93298113235323,136.0940822,,,,
85,24,5810960,1,20250522,1510,1,0,0,0,0,,0,,0,0,0,0,,0,3,202505221510,34.00152563244955,136.1851117,,,,
85,24,5810970,1,20250522,1510,0,0,0,0,0,,0,,0,0,0,0,,0,3,202505221510,33.942137832366114,136.1524581,,,,
85,24,5810980,1,20250522,1510,0,0,0,0,0,,0,,0,0,0,0,,0,3,202505221510,33.92889863234747,136.1381858,,,,
85,24,5810990,1,20250522,1510,28,3,15,3,0,,0,,0,0,0,0,,0,3,202505221510,33.74057583208088,135.9955167,,,,
85,24,5811000,1,20250522,1510,21,5,14,6,0,,0,,0,0,0,0,,0,1,202505221510,34.10420863259313,136.1948133,,,,
85,22,5811050,1,20250522,1510,8,0,10,1,0,,0,,0,0,0,0,,0,3,202505221510,35.37095103428976,138.860418,,,,
85,22,5811250,1,20250522,1510,10,1,31,8,0,,0,,0,0,0,0,,0,3,202505221510,35.312573034214765,138.927446,,,,
86,,6810010,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.89694403367168,136.336111,,,,
86,,6810020,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.97777803377855,135.901667,,,,
86,,6810030,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.00527803381478,136.094722,,,,
86,,6810040,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.98861103379282,135.788056,,,,
86,,6810050,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.987222033791,135.75305600000002,,,,
86,,6810089,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.978118033779,135.908546,,,,
86,,6810090,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.83138903358458,135.72305600000004,,,,
86,,6810100,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.83138903358458,135.723889,,,,
86,,6810130,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.842500033599364,134.330556,,,,
86,,6810135,1,20250522,1510,23,12,30,11,0,,0,,0,0,0,0,,0,3,202505221510,36.18333336529846,136.26777780000003,,,,
86,,6810140,1,20250522,1510,44,15,53,28,0,,0,,0,0,0,0,,0,3,202505221510,36.14305603525003,136.263889,,,,
86,,6810150,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,36.0772220351705,136.244444,,,,
86,,6810160,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,36.02444403510641,136.218333,,,,
86,,6810165,1,20250522,1510,84,8,71,10,0,,0,,0,0,0,0,,0,3,202505221510,35.980555595052905,136.1958333,,,,
86,,6810170,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.95555603502233,136.188889,,,,
86,,6810180,1,20250522,1510,34,18,29,6,0,,0,,0,0,0,0,,0,3,202505221510,35.878333034927515,136.169444,,,,
86,,6810190,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.719444034730536,136.094722,,,,
86,,6810200,1,20250522,1510,13,2,1,2,0,,0,,0,0,0,0,,0,3,202505221510,35.66555603466316,136.083056,,,,
86,,6810220,1,20250522,1510,7,5,11,2,0,,0,,0,0,0,0,,0,3,202505221510,35.60416703458605,136.107222,,,,
86,,6810230,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.57603003455058,136.122756,,,,
86,,6810240,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.512778034470564,136.173333,,,,
86,,6810241,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.4322160343681,136.245092,,,,
86,,6810250,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.27555603416706,136.269444,,,,
86,,6810260,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.11611103396005,136.128333,,,,
86,,6810270,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.091944033928485,136.089722,,,,
86,,6810280,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.66000003465618,136.084722,,,,
86,,6810290,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.996111033802705,135.722222,,,,
86,,6810300,1,20250522,1510,0,0,0,0,0,,0,,0,0,0,0,,0,3,202505221510,34.981944033784046,135.693056,,,,
86,,6810310,1,20250522,1510,58,11,0,0,0,,0,,0,0,0,0,,0,3,202505221510,34.981944033784046,135.692917,,,,
86,,6810320,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.992500033797945,135.64750000000004,,,,
86,,6810330,1,20250522,1510,29,17,8,5,0,,0,,0,0,0,0,,0,3,202505221510,34.989722033794294,135.636667,,,,
86,,6810340,1,20250522,1510,2,1,5,0,0,,0,,0,0,0,0,,0,3,202505221510,35.12222203396803,135.439444,,,,
86,,6810343,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.18777781405339,135.3219444,,,,
86,,6810344,1,20250522,1510,20,6,29,7,0,,0,,0,0,0,0,,0,3,202505221510,35.24583336412865,135.2161111,,,,
86,,6810346,1,20250522,1510,35,5,35,8,0,,0,,0,0,0,0,,0,3,202505221510,35.28305559417674,135.1777778,,,,
86,,6810348,1,20250522,1510,37,9,39,9,0,,0,,0,0,0,0,,0,3,202505221510,35.3139820342166,135.101491,,,,
86,,6810360,1,20250522,1510,1,0,0,0,0,,0,,0,0,0,0,,0,3,202505221510,35.333611034241834,134.917222,,,,
86,,6810370,1,20250522,1510,10,3,14,4,0,,0,,0,0,0,0,,0,3,202505221510,35.38305603430526,134.671667,,,,
86,,6810390,1,20250522,1510,17,5,19,3,0,,0,,0,0,0,0,,0,3,202505221510,35.48083303443001,134.585278,,,,
86,,6810400,1,20250522,1510,2,2,6,0,0,,0,,0,0,0,0,,0,3,202505221510,35.50388903445929,134.533889,,,,
86,,6810410,1,20250522,1510,3,9,5,3,0,,0,,0,0,0,0,,0,3,202505221510,35.5247220344857,134.4275,,,,
86,,6810420,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,35.33111103423862,136.352222,,,,
86,,6810450,1,20250522,1510,38,2,20,1,0,,0,,0,0,0,0,,0,3,202505221510,34.229683032767404,135.169164,,,,
86,,6810500,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.58000003324698,135.466581,,,,
86,,6810510,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.5797220332466,135.466581,,,,
86,,6810540,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.36000003294702,135.269444,,,,
86,,6810550,1,20250522,1510,0,0,74,3,0,,0,,0,0,0,0,,0,3,202505221510,34.32270003289575,135.19756,,,,
86,,6810560,1,20250522,1510,,,,,1,,0,,0,0,0,0,,0,3,202505221510,34.24805603279281,135.175,,,,
